date;precipitation
08.06.2016;42,85
09.06.2016;42,85
10.06.2016;42,85
11.06.2016;42,85
12.06.2016;42,85
13.06.2016;42,85
14.06.2016;42,85
15.06.2016;42,85
16.06.2016;42,85
17.06.2016;42,85
18.06.2016;42,85
19.06.2016;42,85
20.06.2016;42,85
21.06.2016;42,85
22.06.2016;42,85
23.06.2016;42,85
24.06.2016;42,85
25.06.2016;42,85
26.06.2016;42,85
28.06.2016;42,85
29.06.2016;42,85
01.07.2016;42,85
02.07.2016;42,85
03.07.2016;42,85
04.07.2016;42,85
06.07.2016;42,85
07.07.2016;42,85
08.07.2016;42,85
09.07.2016;42,85
10.07.2016;42,85
11.07.2016;42,85
12.07.2016;42,85
14.07.2016;42,85
15.07.2016;42,85
16.07.2016;42,85
17.07.2016;42,85
18.07.2016;42,85
19.07.2016;42,85
20.07.2016;42,85
21.07.2016;42,85
22.07.2016;42,85
24.07.2016;42,85
31.07.2016;42,85
03.08.2016;42,85
05.08.2016;42,85
17.08.2016;42,85
18.08.2016;42,85
19.08.2016;42,85
21.08.2016;42,85
23.08.2016;42,85
24.08.2016;42,85
25.08.2016;42,85
26.08.2016;42,85
27.08.2016;42,85
28.08.2016;42,85
31.08.2016;42,85
01.09.2016;0
02.09.2016;0
03.09.2016;0
04.09.2016;0
05.09.2016;0
06.09.2016;0
07.09.2016;0
08.09.2016;0
09.09.2016;0
10.09.2016;0
11.09.2016;0
12.09.2016;0
13.09.2016;0
14.09.2016;0
15.09.2016;0
16.09.2016;0
17.09.2016;0
19.09.2016;0
20.09.2016;0
21.09.2016;0
22.09.2016;0
23.09.2016;0
24.09.2016;0
25.09.2016;0
26.09.2016;0
27.09.2016;0
28.09.2016;0
29.09.2016;0
30.09.2016;0
01.10.2016;0
02.10.2016;0
03.10.2016;0
04.10.2016;0
05.10.2016;0
06.10.2016;0
07.10.2016;0
08.10.2016;0
09.10.2016;0
10.10.2016;0
11.10.2016;0
12.10.2016;0
13.10.2016;0
14.10.2016;0
15.10.2016;0,75
16.10.2016;3,6
17.10.2016;3,8
18.10.2016;3,8
19.10.2016;3,8
20.10.2016;3,8
21.10.2016;3,8
22.10.2016;3,8
23.10.2016;3,8
24.10.2016;4,02
25.10.2016;4,02
26.10.2016;4,02
27.10.2016;4,05
28.10.2016;5,5
29.10.2016;5,69
30.10.2016;6,13
31.10.2016;6,23
01.11.2016;6,41
02.11.2016;6,43
03.11.2016;6,43
04.11.2016;6,43
07.11.2016;6,43
08.11.2016;6,43
09.11.2016;6,43
10.11.2016;6,43
11.11.2016;6,43
12.11.2016;6,43
14.11.2016;6,43
15.11.2016;6,43
16.11.2016;6,43
17.11.2016;6,43
20.11.2016;8,9
21.11.2016;8,99
22.11.2016;8,99
23.11.2016;8,99
24.11.2016;8,99
25.11.2016;8,99
26.11.2016;9,99
28.11.2016;9,99
29.11.2016;10,01
30.11.2016;10,01
01.12.2016;10,01
03.12.2016;10,01
05.12.2016;10,01
06.12.2016;10,01
07.12.2016;10,02
08.12.2016;11,77
10.12.2016;12,49
12.12.2016;12,5
13.12.2016;12,5
14.12.2016;12,72
15.12.2016;13,3
16.12.2016;16,25
17.12.2016;16,25
18.12.2016;16,25
19.12.2016;16,25
20.12.2016;16,25
21.12.2016;16,25
22.12.2016;16,25
23.12.2016;17,1
24.12.2016;17,4
26.12.2016;17,4
27.12.2016;17,4
28.12.2016;17,4
29.12.2016;17,4
30.12.2016;17,41
31.12.2016;17,41
01.01.2017;17,41
03.01.2017;18,11
04.01.2017;25,35
05.01.2017;25,61
07.01.2017;27,96
08.01.2017;32,83
09.01.2017;34,14
10.01.2017;35,04
11.01.2017;36,41
12.01.2017;36,41
13.01.2017;36,41
14.01.2017;36,41
15.01.2017;36,41
16.01.2017;36,41
17.01.2017;36,41
18.01.2017;36,94
19.01.2017;38,26
20.01.2017;40,06
21.01.2017;40,42
22.01.2017;42,62
24.01.2017;42,9
25.01.2017;42,9
26.01.2017;42,9
27.01.2017;42,9
28.01.2017;42,9
29.01.2017;42,9
30.01.2017;42,9
31.01.2017;42,9
01.02.2017;42,9
02.02.2017;44,16
03.02.2017;44,86
04.02.2017;45,53
05.02.2017;45,56
07.02.2017;45,56
08.02.2017;46,51
09.02.2017;47,31
11.02.2017;47,31
12.02.2017;47,31
13.02.2017;47,31
14.02.2017;47,31
15.02.2017;47,31
16.02.2017;48,01
17.02.2017;51,21
18.02.2017;53,72
19.02.2017;53,88
20.02.2017;59,45
21.02.2017;61,25
23.02.2017;61,32
24.02.2017;61,32
26.02.2017;61,57
27.02.2017;61,57
28.02.2017;61,57
01.03.2017;61,57
02.03.2017;61,57
03.03.2017;61,57
04.03.2017;61,57
05.03.2017;62,42
16.03.2017;62,42
17.03.2017;62,42
19.03.2017;62,42
20.03.2017;62,42
21.03.2017;65,62
22.03.2017;66,34
23.03.2017;66,39
24.03.2017;66,67
25.03.2017;67,12
26.03.2017;67,12
29.03.2017;67,12
30.03.2017;67,12
31.03.2017;67,12
01.04.2017;67,12
02.04.2017;67,12
03.04.2017;67,12
04.04.2017;67,12
05.04.2017;67,12
06.04.2017;67,17
07.04.2017;70,29
08.04.2017;70,52
09.04.2017;70,52
10.04.2017;70,52
11.04.2017;70,54
12.04.2017;71,24
13.04.2017;71,84
14.04.2017;71,84
15.04.2017;71,84
16.04.2017;71,94
18.04.2017;72,45
19.04.2017;72,45
20.04.2017;72,45
21.04.2017;72,45
24.04.2017;72,45
25.04.2017;72,45
26.04.2017;72,45
27.04.2017;72,45
28.04.2017;72,45
29.04.2017;72,45
30.04.2017;72,45
