"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20240301T140832_20240301T140859_052789_06635B_791A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52789","42","470","2024-03-01T14:08:59.684526Z","2024-03-01T14:08:32Z","SLC","2024-03-01T14:08:32Z","2024-03-01T14:08:59Z","36.505","-121.3398","37.108128","-119.749886","37.506134","-122.576935","35.486523","-120.139549","35.886086","-122.905678","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240301T140832_20240301T140859_052789_06635B_791A.zip","7345.602175712585","","","0","S1A_IWDV_0470_0476_052789_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240218T140832_20240218T140859_052614_065D61_ADAF","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52614","42","470","2024-02-18T14:08:59.658734Z","2024-02-18T14:08:32Z","SLC","2024-02-18T14:08:32Z","2024-02-18T14:08:59Z","36.5039","-121.3399","37.107021","-119.750031","37.505009","-122.577095","35.485538","-120.139641","35.885082","-122.905792","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240218T140832_20240218T140859_052614_065D61_ADAF.zip","7345.5622091293335","","","0","S1A_IWDV_0470_0476_052614_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240206T140832_20240206T140859_052439_06577C_461E","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52439","42","470","2024-02-06T14:08:59.716409Z","2024-02-06T14:08:32Z","SLC","2024-02-06T14:08:32Z","2024-02-06T14:08:59Z","36.5043","-121.3394","37.107422","-119.749512","37.505371","-122.576569","35.485943","-120.139107","35.885452","-122.905235","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240206T140832_20240206T140859_052439_06577C_461E.zip","7345.34709072113","","","0","S1A_IWDV_0470_0476_052439_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240125T140833_20240125T140900_052264_06518C_DA5F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52264","42","470","2024-01-25T14:09:00.179679Z","2024-01-25T14:08:33Z","SLC","2024-01-25T14:08:33Z","2024-01-25T14:09:00Z","36.504","-121.3403","37.107162","-119.750282","37.505135","-122.577499","35.485443","-120.139938","35.884975","-122.906212","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240125T140833_20240125T140900_052264_06518C_DA5F.zip","7345.264029502869","","","0","S1A_IWDV_0470_0476_052264_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20240113T140833_20240113T140900_052089_064BAF_C7A8","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","52089","42","470","2024-01-13T14:09:00.474501Z","2024-01-13T14:08:33Z","SLC","2024-01-13T14:08:33Z","2024-01-13T14:09:00Z","36.5041","-121.3398","37.107254","-119.749725","37.505241","-122.577026","35.485664","-120.139351","35.885212","-122.905716","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240113T140833_20240113T140900_052089_064BAF_C7A8.zip","7345.202383995056","","","0","S1A_IWDV_0470_0476_052089_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231220T140834_20231220T140901_051739_063FB4_ECBA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51739","42","470","2023-12-20T14:09:01.333853Z","2023-12-20T14:08:34Z","SLC","2023-12-20T14:08:34Z","2023-12-20T14:09:01Z","36.5043","-121.3368","37.107315","-119.74675","37.505363","-122.57412","35.485855","-120.136383","35.88546","-122.902824","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231220T140834_20231220T140901_051739_063FB4_ECBA.zip","7345.512545585632","","","0","S1A_IWDV_0470_0476_051739_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231208T140835_20231208T140902_051564_063997_65B1","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51564","42","470","2023-12-08T14:09:02.549131Z","2023-12-08T14:08:35Z","SLC","2023-12-08T14:08:35Z","2023-12-08T14:09:02Z","36.5041","-121.3392","37.107189","-119.749107","37.505222","-122.576439","35.485607","-120.138771","35.885193","-122.905167","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231208T140835_20231208T140902_051564_063997_65B1.zip","7345.137166976929","","","0","S1A_IWDV_0470_0476_051564_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231126T140835_20231126T140902_051389_06338C_1533","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51389","42","470","2023-11-26T14:09:02.699870Z","2023-11-26T14:08:35Z","SLC","2023-11-26T14:08:35Z","2023-11-26T14:09:02Z","36.504","-121.3386","37.107101","-119.748566","37.505104","-122.57592","35.485512","-120.138199","35.885071","-122.904617","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231126T140835_20231126T140902_051389_06338C_1533.zip","7345.332829475403","","","0","S1A_IWDV_0471_0476_051389_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231114T140836_20231114T140903_051214_062D88_A4D5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51214","42","470","2023-11-14T14:09:03.442932Z","2023-11-14T14:08:36Z","SLC","2023-11-14T14:08:36Z","2023-11-14T14:09:03Z","36.5041","-121.3404","37.107193","-119.750328","37.505184","-122.577698","35.485603","-120.139946","35.885151","-122.906387","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231114T140836_20231114T140903_051214_062D88_A4D5.zip","7345.308303833008","","","0","S1A_IWDV_0471_0476_051214_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231102T140836_20231102T140903_051039_06277B_24E0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51039","42","470","2023-11-02T14:09:03.316458Z","2023-11-02T14:08:36Z","SLC","2023-11-02T14:08:36Z","2023-11-02T14:09:03Z","36.5055","-121.3381","37.108627","-119.748024","37.506641","-122.575409","35.487041","-120.137672","35.886612","-122.904121","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231102T140836_20231102T140903_051039_06277B_24E0.zip","7345.130564689636","","","0","S1A_IWDV_0470_0476_051039_042","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231021T140837_20231021T140904_050864_062179_20DA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","50864","42","470","2023-10-21T14:09:04.055741Z","2023-10-21T14:08:37Z","SLC","2023-10-21T14:08:37Z","2023-10-21T14:09:04Z","36.5053","-121.3397","37.108826","-119.74955","37.506866","-122.576851","35.486374","-120.139427","35.885971","-122.905769","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231021T140837_20231021T140904_050864_062179_20DA.zip","7345.146116256714","","","0","S1A_IWDV_0470_0476_050864_042","","","","","","","","","","",""
