"Granule Name,""Platform"",""Sensor"",""Beam Mode"",""Beam Mode Description"",""Orbit"",""Path Number"",""Frame Number"",""Acquisition Date"",""Processing Date"",""Processing Level"",""Start Time"",""End Time"",""Center Lat"",""Center Lon"",""Near Start Lat"",""Near Start Lon"",""Far Start Lat"",""Far Start Lon"",""Near End Lat"",""Near End Lon"",""Far End Lat"",""Far End Lon"",""Faraday Rotation"",""Ascending or Descending?"",""URL"",""Size (MB)"",""Off Nadir Angle"",""Stack Size"",""Doppler"",""GroupID"",""Pointing Angle"",""TemporalBaseline"",""PerpendicularBaseline"",""relativeBurstID"",""absoluteBurstID"",""fullBurstID"",""burstIndex"",""azimuthTime"",""azimuthAnxTime"",""samplesPerBurst"",""subswath"""
"S1A_IW_SLC__1SDV_20170218T140808_20170218T140835_015339_019272_BC42,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""15339"",""42"",""474"",""2017-02-18T14:08:35.477506Z"",""2017-02-18T14:08:08Z"",""SLC"",""2017-02-18T14:08:08Z"",""2017-02-18T14:08:35Z"",""35.4503"",""-121.5745"",""36.053829"",""-120.004211"",""36.45332"",""-122.795204"",""34.430401"",""-120.388893"",""34.831631"",""-123.12188"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170218T140808_20170218T140835_015339_019272_BC42.zip"",""4211.4139795303345"","""","""",""0"",""S1A_IWDV_0474_0479_015339_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20170206T140806_20170206T140834_015164_018CFA_0953,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""15164"",""42"",""474"",""2017-02-06T14:08:34.802863Z"",""2017-02-06T14:08:06Z"",""SLC"",""2017-02-06T14:08:06Z"",""2017-02-06T14:08:34Z"",""35.5358"",""-121.5527"",""36.16872"",""-119.985153"",""36.564945"",""-122.757919"",""34.490051"",""-120.383179"",""34.888042"",""-123.096191"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20170206T140806_20170206T140834_015164_018CFA_0953.zip"",""3966.4555683135986"","""","""",""0"",""S1A_IWDV_0474_0479_015164_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20170125T140809_20170125T140835_014989_01879A_C795,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""14989"",""42"",""474"",""2017-01-25T14:08:35.986679Z"",""2017-01-25T14:08:09Z"",""SLC"",""2017-01-25T14:08:09Z"",""2017-01-25T14:08:35Z"",""35.4514"",""-121.5785"",""36.055035"",""-120.011627"",""36.453468"",""-122.796127"",""34.432472"",""-120.395935"",""34.832645"",""-123.122589"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170125T140809_20170125T140835_014989_01879A_C795.zip"",""2027.3871698379517"","""","""",""0"",""S1A_IWSV_0474_0479_014989_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20170101T140808_20170101T140836_014639_017CDB_D23B,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""14639"",""42"",""474"",""2017-01-01T14:08:36.703334Z"",""2017-01-01T14:08:08Z"",""SLC"",""2017-01-01T14:08:08Z"",""2017-01-01T14:08:36Z"",""35.48"",""-121.5732"",""36.112705"",""-119.998863"",""36.51104"",""-122.785278"",""34.432026"",""-120.397079"",""34.832157"",""-123.123497"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20170101T140808_20170101T140836_014639_017CDB_D23B.zip"",""2221.3111295700073"","""","""",""0"",""S1A_IWSV_0474_0479_014639_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20161220T140809_20161220T140837_014464_017775_00D5,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""14464"",""42"",""474"",""2016-12-20T14:08:37.168449Z"",""2016-12-20T14:08:09Z"",""SLC"",""2016-12-20T14:08:09Z"",""2016-12-20T14:08:37Z"",""35.5369"",""-121.5524"",""36.16959"",""-119.984787"",""36.565853"",""-122.757607"",""34.491299"",""-120.382767"",""34.889324"",""-123.09584"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161220T140809_20161220T140837_014464_017775_00D5.zip"",""3862.7223529815674"","""","""",""0"",""S1A_IWDV_0474_0479_014464_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20161208T140811_20161208T140838_014289_0171FB_2CD3,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""14289"",""42"",""474"",""2016-12-08T14:08:38.601416Z"",""2016-12-08T14:08:11Z"",""SLC"",""2016-12-08T14:08:11Z"",""2016-12-08T14:08:38Z"",""35.4514"",""-121.5777"",""36.055454"",""-120.010712"",""36.453945"",""-122.79528"",""34.432159"",""-120.395248"",""34.83239"",""-123.121933"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20161208T140811_20161208T140838_014289_0171FB_2CD3.zip"",""2084.9192504882812"","""","""",""0"",""S1A_IWSV_0474_0479_014289_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20161126T140810_20161126T140838_014114_016C6F_548D,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""14114"",""42"",""474"",""2016-11-26T14:08:38.050838Z"",""2016-11-26T14:08:10Z"",""SLC"",""2016-11-26T14:08:10Z"",""2016-11-26T14:08:38Z"",""35.5369"",""-121.5528"",""36.169964"",""-119.985146"",""36.566177"",""-122.75798"",""34.490925"",""-120.383255"",""34.888905"",""-123.096321"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161126T140810_20161126T140838_014114_016C6F_548D.zip"",""3975.012969017029"","""","""",""0"",""S1A_IWDV_0474_0479_014114_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20161114T140812_20161114T140839_013939_01671F_98C0,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""13939"",""42"",""474"",""2016-11-14T14:08:39.197521Z"",""2016-11-14T14:08:12Z"",""SLC"",""2016-11-14T14:08:12Z"",""2016-11-14T14:08:39Z"",""35.4514"",""-121.5786"",""36.055298"",""-120.011627"",""36.453716"",""-122.79615"",""34.43224"",""-120.396034"",""34.832397"",""-123.122696"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20161114T140812_20161114T140839_013939_01671F_98C0.zip"",""2080.660075187683"","""","""",""0"",""S1A_IWSV_0474_0479_013939_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20161102T140810_20161102T140838_013764_0161A0_1883,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""13764"",""42"",""474"",""2016-11-02T14:08:38.369418Z"",""2016-11-02T14:08:10Z"",""SLC"",""2016-11-02T14:08:10Z"",""2016-11-02T14:08:38Z"",""35.5374"",""-121.5529"",""36.170303"",""-119.985313"",""36.566505"",""-122.758156"",""34.491508"",""-120.383354"",""34.889473"",""-123.096436"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161102T140810_20161102T140838_013764_0161A0_1883.zip"",""3871.2261543273926"","""","""",""0"",""S1A_IWDV_0474_0479_013764_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20161021T140812_20161021T140839_013589_015C38_74B9,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""13589"",""42"",""474"",""2016-10-21T14:08:39.332946Z"",""2016-10-21T14:08:12Z"",""SLC"",""2016-10-21T14:08:12Z"",""2016-10-21T14:08:39Z"",""35.4518"",""-121.5775"",""36.055679"",""-120.010559"",""36.45417"",""-122.795128"",""34.432625"",""-120.395027"",""34.832855"",""-123.121727"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20161021T140812_20161021T140839_013589_015C38_74B9.zip"",""2099.6108827590942"","""","""",""0"",""S1A_IWSV_0474_0479_013589_042"","""","""","""","""","""","""","""","""","""","""","""""
