"Granule Name,""Platform"",""Sensor"",""Beam Mode"",""Beam Mode Description"",""Orbit"",""Path Number"",""Frame Number"",""Acquisition Date"",""Processing Date"",""Processing Level"",""Start Time"",""End Time"",""Center Lat"",""Center Lon"",""Near Start Lat"",""Near Start Lon"",""Far Start Lat"",""Far Start Lon"",""Near End Lat"",""Near End Lon"",""Far End Lat"",""Far End Lon"",""Faraday Rotation"",""Ascending or Descending?"",""URL"",""Size (MB)"",""Off Nadir Angle"",""Stack Size"",""Doppler"",""GroupID"",""Pointing Angle"",""TemporalBaseline"",""PerpendicularBaseline"",""relativeBurstID"",""absoluteBurstID"",""fullBurstID"",""burstIndex"",""azimuthTime"",""azimuthAnxTime"",""samplesPerBurst"",""subswath"""
"S1A_IW_SLC__1SDV_20161009T140810_20161009T140838_013414_0156AE_E75E,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""13414"",""42"",""474"",""2016-10-09T14:08:38.442059Z"",""2016-10-09T14:08:10Z"",""SLC"",""2016-10-09T14:08:10Z"",""2016-10-09T14:08:38Z"",""35.5361"",""-121.5528"",""36.169014"",""-119.985306"",""36.56525"",""-122.758003"",""34.490337"",""-120.383339"",""34.88834"",""-123.096291"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20161009T140810_20161009T140838_013414_0156AE_E75E.zip"",""3686.639666557312"","""","""",""0"",""S1A_IWDV_0474_0479_013414_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20160927T140812_20160927T140839_013239_015130_BC31,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""13239"",""42"",""474"",""2016-09-27T14:08:39.408843Z"",""2016-09-27T14:08:12Z"",""SLC"",""2016-09-27T14:08:12Z"",""2016-09-27T14:08:39Z"",""35.4512"",""-121.5789"",""36.055058"",""-120.012016"",""36.453472"",""-122.796432"",""34.432114"",""-120.396378"",""34.832272"",""-123.122948"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20160927T140812_20160927T140839_013239_015130_BC31.zip"",""1951.4257373809814"","""","""",""0"",""S1A_IWSV_0477_0482_013239_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160915T140810_20160915T140838_013064_014B65_2F77,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""13064"",""42"",""474"",""2016-09-15T14:08:38.013861Z"",""2016-09-15T14:08:10Z"",""SLC"",""2016-09-15T14:08:10Z"",""2016-09-15T14:08:38Z"",""35.5364"",""-121.553"",""36.169308"",""-119.985588"",""36.565464"",""-122.758163"",""34.490612"",""-120.383553"",""34.888542"",""-123.09639"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160915T140810_20160915T140838_013064_014B65_2F77.zip"",""3935.356038093567"","""","""",""0"",""S1A_IWDV_0476_0481_013064_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160822T140809_20160822T140837_012714_013FEA_50E3,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""12714"",""42"",""474"",""2016-08-22T14:08:37.158331Z"",""2016-08-22T14:08:09Z"",""SLC"",""2016-08-22T14:08:09Z"",""2016-08-22T14:08:37Z"",""35.5371"",""-121.553"",""36.170177"",""-119.985443"",""36.566376"",""-122.758087"",""34.491119"",""-120.383522"",""34.889084"",""-123.096413"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160822T140809_20160822T140837_012714_013FEA_50E3.zip"",""3899.129422187805"","""","""",""0"",""S1A_IWDV_0476_0481_012714_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160729T140807_20160729T140835_012364_013442_F5A2,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""12364"",""42"",""474"",""2016-07-29T14:08:35.775938Z"",""2016-07-29T14:08:07Z"",""SLC"",""2016-07-29T14:08:07Z"",""2016-07-29T14:08:35Z"",""35.5374"",""-121.5525"",""36.170567"",""-119.984924"",""36.566757"",""-122.75753"",""34.491379"",""-120.383041"",""34.889339"",""-123.095886"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160729T140807_20160729T140835_012364_013442_F5A2.zip"",""3917.130102157593"","""","""",""0"",""S1A_IWDV_0474_0479_012364_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160705T140806_20160705T140834_012014_0128CD_0601,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""12014"",""42"",""474"",""2016-07-05T14:08:34.596582Z"",""2016-07-05T14:08:06Z"",""SLC"",""2016-07-05T14:08:06Z"",""2016-07-05T14:08:34Z"",""35.537"",""-121.5539"",""36.170292"",""-119.986374"",""36.566422"",""-122.758926"",""34.490974"",""-120.38446"",""34.888874"",""-123.09726"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160705T140806_20160705T140834_012014_0128CD_0601.zip"",""3736.5046424865723"","""","""",""0"",""S1A_IWDV_0474_0479_012014_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160611T140805_20160611T140833_011664_011DAE_5646,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""11664"",""42"",""474"",""2016-06-11T14:08:33.177617Z"",""2016-06-11T14:08:05Z"",""SLC"",""2016-06-11T14:08:05Z"",""2016-06-11T14:08:33Z"",""35.5378"",""-121.5528"",""36.171043"",""-119.985321"",""36.567223"",""-122.757828"",""34.491734"",""-120.383476"",""34.889679"",""-123.096222"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160611T140805_20160611T140833_011664_011DAE_5646.zip"",""4043.984606742859"","""","""",""0"",""S1A_IWDV_0475_0480_011664_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160518T140803_20160518T140831_011314_01127E_0B90,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""11314"",""42"",""474"",""2016-05-18T14:08:31.640957Z"",""2016-05-18T14:08:03Z"",""SLC"",""2016-05-18T14:08:03Z"",""2016-05-18T14:08:31Z"",""35.5377"",""-121.5528"",""36.170639"",""-119.98542"",""36.566776"",""-122.757919"",""34.49194"",""-120.383385"",""34.889843"",""-123.096146"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160518T140803_20160518T140831_011314_01127E_0B90.zip"",""3811.273971557617"","""","""",""0"",""S1A_IWDV_0475_0480_011314_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160424T140806_20160424T140833_010964_010756_3089,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""10964"",""42"",""474"",""2016-04-24T14:08:33.259392Z"",""2016-04-24T14:08:06Z"",""SLC"",""2016-04-24T14:08:06Z"",""2016-04-24T14:08:33Z"",""35.3428"",""-121.5951"",""35.947376"",""-120.036652"",""36.344269"",""-122.804543"",""34.324856"",""-120.420387"",""34.723488"",""-123.131012"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160424T140806_20160424T140833_010964_010756_3089.zip"",""3934.9352560043335"","""","""",""0"",""S1A_IWDV_0475_0480_010964_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160331T140801_20160331T140829_010614_00FCC3_7ADB,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""10614"",""42"",""474"",""2016-03-31T14:08:29.571339Z"",""2016-03-31T14:08:01Z"",""SLC"",""2016-03-31T14:08:01Z"",""2016-03-31T14:08:29Z"",""35.5379"",""-121.5527"",""36.170818"",""-119.985252"",""36.567009"",""-122.757751"",""34.492001"",""-120.383301"",""34.889957"",""-123.096054"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160331T140801_20160331T140829_010614_00FCC3_7ADB.zip"",""3890.8759031295776"","""","""",""0"",""S1A_IWDV_0474_0479_010614_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160307T140801_20160307T140828_010264_00F2C9_95CB,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""10264"",""42"",""474"",""2016-03-07T14:08:28.960178Z"",""2016-03-07T14:08:01Z"",""SLC"",""2016-03-07T14:08:01Z"",""2016-03-07T14:08:28Z"",""35.5372"",""-121.5536"",""36.170464"",""-119.986038"",""36.56662"",""-122.75869"",""34.491154"",""-120.384171"",""34.88908"",""-123.097054"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160307T140801_20160307T140828_010264_00F2C9_95CB.zip"",""4356.906004905701"","""","""",""0"",""S1A_IWDV_0474_0480_010264_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160212T140800_20160212T140828_009914_00E8BD_5E83,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""9914"",""42"",""474"",""2016-02-12T14:08:28.760182Z"",""2016-02-12T14:08:00Z"",""SLC"",""2016-02-12T14:08:00Z"",""2016-02-12T14:08:28Z"",""35.5374"",""-121.552"",""36.170319"",""-119.984459"",""36.566547"",""-122.757271"",""34.491646"",""-120.382492"",""34.889641"",""-123.095543"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160212T140800_20160212T140828_009914_00E8BD_5E83.zip"",""3924.554660797119"","""","""",""0"",""S1A_IWDV_0474_0479_009914_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20160119T140801_20160119T140829_009564_00DE82_EDC9,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""9564"",""42"",""474"",""2016-01-19T14:08:29.451032Z"",""2016-01-19T14:08:01Z"",""SLC"",""2016-01-19T14:08:01Z"",""2016-01-19T14:08:29Z"",""35.5379"",""-121.5519"",""36.170624"",""-119.984344"",""36.56686"",""-122.757164"",""34.492332"",""-120.382317"",""34.890335"",""-123.095383"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20160119T140801_20160119T140829_009564_00DE82_EDC9.zip"",""4017.5418071746826"","""","""",""0"",""S1A_IWDV_0474_0479_009564_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20151226T140802_20151226T140830_009214_00D47C_2877,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""9214"",""42"",""474"",""2015-12-26T14:08:30.190281Z"",""2015-12-26T14:08:02Z"",""SLC"",""2015-12-26T14:08:02Z"",""2015-12-26T14:08:30Z"",""35.5374"",""-121.5532"",""36.170132"",""-119.985649"",""36.56633"",""-122.758575"",""34.491711"",""-120.383591"",""34.889675"",""-123.096764"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151226T140802_20151226T140830_009214_00D47C_2877.zip"",""3899.5696353912354"","""","""",""0"",""S1A_IWDV_0474_0479_009214_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SDV_20151202T140803_20151202T140831_008864_00CAAA_8EC3,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""8864"",""42"",""474"",""2015-12-02T14:08:31.052001Z"",""2015-12-02T14:08:03Z"",""SLC"",""2015-12-02T14:08:03Z"",""2015-12-02T14:08:31Z"",""35.5369"",""-121.5522"",""36.169765"",""-119.984497"",""36.566036"",""-122.757431"",""34.490982"",""-120.382584"",""34.889015"",""-123.095741"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20151202T140803_20151202T140831_008864_00CAAA_8EC3.zip"",""3813.7443714141846"","""","""",""0"",""S1A_IWDV_0475_0480_008864_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20151120T140757_20151120T140824_008689_00C5C0_3A3D,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""8689"",""42"",""472"",""2015-11-20T14:08:24.160305Z"",""2015-11-20T14:07:57Z"",""SLC"",""2015-11-20T14:07:57Z"",""2015-11-20T14:08:24Z"",""35.951"",""-121.4765"",""36.554203"",""-119.893196"",""36.953773"",""-122.708969"",""34.931065"",""-120.280121"",""35.332314"",""-123.036346"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20151120T140757_20151120T140824_008689_00C5C0_3A3D.zip"",""2197.4009008407593"","""","""",""0"",""S1A_IWSV_0474_0479_008689_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20151027T140802_20151027T140829_008339_00BC45_ACBF,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""8339"",""42"",""473"",""2015-10-27T14:08:29.969728Z"",""2015-10-27T14:08:02Z"",""SLC"",""2015-10-27T14:08:02Z"",""2015-10-27T14:08:29Z"",""35.619"",""-121.5476"",""36.222088"",""-119.969139"",""36.622517"",""-122.776329"",""34.598366"",""-120.354538"",""35.00053"",""-123.103035"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20151027T140802_20151027T140829_008339_00BC45_ACBF.zip"",""2086.895781517029"","""","""",""0"",""S1A_IWSV_0475_0480_008339_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20151003T140803_20151003T140830_007989_00B2CA_8634,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""7989"",""42"",""473"",""2015-10-03T14:08:30.003892Z"",""2015-10-03T14:08:03Z"",""SLC"",""2015-10-03T14:08:03Z"",""2015-10-03T14:08:30Z"",""35.6179"",""-121.5476"",""36.22084"",""-119.969246"",""36.621323"",""-122.776161"",""34.597363"",""-120.354637"",""34.999577"",""-123.102882"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20151003T140803_20151003T140830_007989_00B2CA_8634.zip"",""2219.467391014099"","""","""",""0"",""S1A_IWSV_0475_0480_007989_042"","""","""","""","""","""","""","""","""","""","""","""""
"S1A_IW_SLC__1SSV_20150909T140802_20150909T140829_007639_00A972_D49E,""Sentinel-1A"",""C-SAR"",""IW"",""Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses."",""7639"",""42"",""473"",""2015-09-09T14:08:29.448130Z"",""2015-09-09T14:08:02Z"",""SLC"",""2015-09-09T14:08:02Z"",""2015-09-09T14:08:29Z"",""35.6184"",""-121.5482"",""36.221294"",""-119.96991"",""36.621731"",""-122.776756"",""34.597931"",""-120.355255"",""35.000099"",""-123.103424"","""",""DESCENDING"",""https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150909T140802_20150909T140829_007639_00A972_D49E.zip"",""2043.1559343338013"","""","""",""0"",""S1A_IWSV_0475_0480_007639_042"","""","""","""","""","""","""","""","""","""","""","""""
